yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,payroll
1985,NL,MON,WSN,E,3,161,81,84,77,N,NA,N,N,633,5429,1342,242,49,118,492,880,169,77,26,45,636,574,3.55,13,13,53,4371,1346,99,509,870,121,152,0.981,Montreal Expos,Stade Olympique,1502494,95,95,MON,MON,MON,9470166
1985,AL,NYA,NYY,E,2,161,80,97,64,N,NA,N,N,839,5458,1458,272,31,176,620,771,155,53,50,60,660,590,3.69,25,9,49,4321,1373,157,518,907,126,172,0.979,New York Yankees,Yankee Stadium II,2214587,98,97,NYY,NYA,NYA,14238204
1985,NL,NYN,NYM,E,2,162,81,98,64,N,NA,N,N,695,5549,1425,239,35,134,546,872,117,53,20,44,568,514,3.11,32,19,37,4464,1306,111,515,1039,115,138,0.982,New York Mets,Shea Stadium,2761601,99,97,NYM,NYN,NYN,10834762
1985,AL,OAK,OAK,W,4,162,79,77,85,N,NA,N,N,757,5581,1475,230,34,155,508,861,117,58,16,47,787,712,4.41,10,6,41,4359,1451,172,607,785,140,137,0.977,Oakland Athletics,Oakland Coliseum,1334599,92,92,OAK,OAK,OAK,9058606
1985,NL,PHI,PHI,E,5,162,81,75,87,N,NA,N,N,667,5477,1343,238,47,141,527,1095,122,51,25,44,673,592,3.68,24,9,30,4341,1424,115,596,899,139,142,0.978,Philadelphia Phillies,Veterans Stadium,1830350,103,103,PHI,PHI,PHI,10124966
1985,NL,PIT,PIT,E,6,161,80,57,104,N,NA,N,N,568,5436,1340,251,28,80,514,842,110,60,14,44,708,638,3.97,15,6,29,4336,1406,107,584,962,133,127,0.979,Pittsburgh Pirates,Three Rivers Stadium,735900,99,100,PIT,PIT,PIT,9227500
1985,NL,SDN,SDP,W,3,162,81,83,79,N,NA,N,N,650,5507,1405,241,28,109,513,809,60,39,23,32,622,549,3.4,26,19,44,4354,1399,127,443,727,124,158,0.98,San Diego Padres,Jack Murphy Stadium,2210352,99,99,SDP,SDN,SDN,11036583
1985,AL,SEA,SEA,W,6,162,83,74,88,N,NA,N,N,719,5521,1410,277,38,171,564,942,94,35,31,41,818,744,4.68,23,8,30,4296,1456,154,637,868,122,156,0.98,Seattle Mariners,Kingdome,1128696,100,101,SEA,SEA,SEA,4613000
1985,NL,SFN,SFG,W,6,162,81,62,100,N,NA,N,N,556,5420,1263,217,31,115,488,962,99,55,37,25,674,581,3.61,13,5,24,4344,1348,125,572,985,148,134,0.976,San Francisco Giants,Candlestick Park,818697,95,96,SFG,SFN,SFN,8221714
1985,NL,SLN,STL,E,1,162,81,101,61,Y,NA,Y,N,747,5467,1446,245,59,87,586,853,314,96,18,41,572,505,3.1,37,20,44,4392,1343,98,453,798,108,166,0.983,St. Louis Cardinals,Busch Stadium II,2637563,100,99,STL,SLN,SLN,11817083
